1	9881	1	1213	1	p1	10
2	9882	2	1213	2	p2	10
3	9883	3	1213	3	p3	10
4	9884	4	1213	4	p4	10
5	9885	5	1213	5	p5	10
6	9886	6	1213	1	p6	10
7	9887	7	1213	2	p7	20
8	9888	8	1213	3	p8	10
9	9889	9	1214	4	p9	10
10	9890	8	1215	5	p10	10
11	9881	7	1216	1	p11	10
12	9882	6	1217	2	p12	10
13	9883	5	1218	3	p13	10
14	9884	4	1219	4	p14	10
15	9885	3	1220	5	p15	10
16	9886	2	1221	1	p16	10
17	9887	1	1222	2	p17	10
18	9888	3	1223	3	p18	10
19	9889	5	1224	4	p19	10
20	9890	7	1223	5	p20	10
21	9891	9	1222	1	p21	10
22	9892	1	1221	2	p22	20
23	9893	1	1220	3	p23	10
24	9894	2	1219	4	p24	10
25	9895	2	1218	5	p25	10
26	9896	2	1217	1	p26	10
27	9897	2	1216	2	p27	10
28	9898	2	1215	3	p28	10
29	9899	2	1214	4	p29	10
30	9892	2	1213	5	p30	10
31	9893	1	1225	1	p31	10
32	9894	2	1225	2	p32	10
33	9895	2	1225	3	p33	10
34	9896	6	1225	4	p34	25
35	9897	2	1225	5	p35	10
36	9898	9	1225	1	p36	10
37	9899	2	1225	2	p37	10
